epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,62.1715,1.41468,2.94781,1.37023,0.00731,0.64516,0.15207,0.13854,0.92369,2.9003,0.92091,0.00024,8e-05,0.00024,8e-05,0.00024,8e-05,0.00024,8e-05
2,103.561,1.38693,2.82623,1.25308,0.00695,0.6129,0.13865,0.1269,0.89306,2.89472,0.91503,0.0003618,0.0001206,0.0003618,0.0001206,0.0003618,0.0001206,0.0003618,0.0001206
3,121.5,1.25902,2.7996,1.24416,0.00691,0.6129,0.13555,0.12396,0.88486,2.89389,0.92092,0.0002856,9.52e-05,0.0002856,9.52e-05,0.0002856,9.52e-05,0.0002856,9.52e-05
