epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45.239,1.46656,2.91927,1.2906,0.00767,0.74194,0.07943,0.06356,0.89618,2.94365,0.98191,0.00024,8e-05,0.00024,8e-05,0.00024,8e-05,0.00024,8e-05
2,87.7848,1.2826,2.77959,1.25502,0.00767,0.74194,0.07932,0.06462,0.91325,2.94326,0.993,0.0003618,0.0001206,0.0003618,0.0001206,0.0003618,0.0001206,0.0003618,0.0001206
3,118.218,1.34077,2.77137,1.24874,0.00767,0.74194,0.08003,0.06538,0.9202,2.94365,0.99752,0.0002856,9.52e-05,0.0002856,9.52e-05,0.0002856,9.52e-05,0.0002856,9.52e-05
