epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.4238,1.28613,2.85684,1.26908,0.00667,0.64516,0.25123,0.22987,0.9034,2.9406,0.98456,0.00024,8e-05,0.00024,8e-05,0.00024,8e-05,0.00024,8e-05
2,76.3661,1.26807,2.7634,1.22522,0.007,0.67742,0.2573,0.23249,0.91276,2.94309,0.99187,0.0003618,0.0001206,0.0003618,0.0001206,0.0003618,0.0001206,0.0003618,0.0001206
3,96.206,1.19304,2.73442,1.23755,0.007,0.67742,0.25279,0.22842,0.91942,2.93996,0.99769,0.0002856,9.52e-05,0.0002856,9.52e-05,0.0002856,9.52e-05,0.0002856,9.52e-05
